words,links,capital_words,spam_word_count,is_spam
235,1,3,2,0
314,8,28,2,1
76,3,19,7,1
927,8,9,9,1
247,0,1,4,0
268,4,1,1,0
92,1,2,0,0
293,10,19,2,1
237,0,6,0,0
558,3,5,0,1
41,1,3,3,0
272,10,8,4,1
882,9,23,2,1
533,4,5,5,1
842,2,16,4,1
649,9,5,9,1
432,9,29,10,1
804,10,15,3,1
145,0,0,1,0
416,3,5,8,1
154,2,3,5,0
990,4,2,3,1
449,5,26,4,1
188,2,22,6,1
713,5,5,8,1
191,10,25,3,1
989,10,6,2,1
234,1,0,2,0
708,3,7,8,1
958,7,26,7,1
300,10,30,7,1
241,2,5,4,1
742,6,23,6,1
171,1,0,1,0
180,0,25,10,1
222,2,0,5,0
158,3,0,1,0
237,1,4,3,1
700,6,22,4,1
310,0,2,8,1
292,1,3,0,0
149,2,0,0,0
414,1,1,0,0
26,2,1,1,0
120,5,15,5,1
108,0,1,6,0
123,4,2,2,0
579,3,9,7,1
92,6,11,10,1
106,8,3,6,1
40,3,9,0,0
71,1,2,2,0
240,4,0,1,1
935,5,18,9,1
967,9,19,9,1
120,0,2,0,0
193,7,18,1,1
430,8,16,3,1
57,1,2,4,0
242,0,5,1,0
139,0,3,1,0
487,0,2,1,0
909,9,12,7,1
475,1,16,4,1
984,6,20,4,1
176,1,6,2,0
645,2,9,3,1
719,9,2,8,1
294,1,2,1,0
205,0,0,1,0
198,2,2,0,0
109,1,5,2,0
47,1,1,0,0
123,2,2,0,0
533,2,5,4,1
784,9,6,3,1
312,3,3,2,0
288,4,0,4,0
528,4,17,7,1
170,5,21,6,1
684,0,19,2,1
715,9,28,5,1
767,5,4,6,1
93,2,1,2,0
145,2,3,0,0
274,4,3,4,0
49,2,3,2,0
200,2,3,0,0
902,7,9,1,1
290,0,1,1,0
434,4,8,7,1
237,0,3,2,0
29,5,5,2,0
214,2,3,0,0
198,3,19,4,1
898,2,3,7,1
128,5,4,3,1
145,1,3,0,0
510,2,27,3,1
958,2,19,4,1
479,2,2,5,0
896,3,17,8,1
205,5,16,7,1
757,7,19,6,1
45,2,1,5,0
351,4,27,2,1
25,1,2,1,0
620,6,8,0,1
81,1,8,0,0
396,4,16,4,1
446,0,2,0,0
204,2,1,2,0
764,10,23,3,1
93,9,22,1,1
151,2,2,4,0
66,1,3,2,0
140,1,2,2,0
869,2,18,1,1
257,4,3,1,0
879,5,7,8,1
229,1,3,2,0
477,2,29,3,1
681,4,18,10,1
165,3,4,0,0
97,10,6,7,1
60,0,9,4,0
428,1,0,1,0
343,0,30,10,1
745,2,5,7,1
158,9,25,9,1
429,1,3,4,0
174,5,6,2,0
157,3,13,9,1
66,1,1,1,0
848,2,1,4,1
62,2,3,0,0
141,6,1,0,1
51,2,6,3,1
187,0,8,2,0
810,6,15,4,1
542,2,22,3,1
410,5,0,10,1
31,0,8,4,0
149,3,1,2,0
245,1,3,1,0
426,10,29,2,1
85,5,1,1,0
333,10,0,0,1
37,0,1,2,0
495,5,1,5,0
192,0,29,4,1
132,3,5,10,1
160,2,2,0,0
174,1,2,3,0
744,10,3,7,1
143,4,5,4,1
953,8,14,3,1
237,3,0,6,0
408,1,0,1,0
180,1,4,1,0
101,0,9,2,0
159,1,2,1,0
277,8,15,3,1
114,8,0,3,1
213,7,7,2,1
209,1,2,0,0
445,2,3,2,0
247,2,0,0,0
218,2,0,4,0
784,4,12,10,1
225,2,1,2,0
193,6,1,8,1
20,1,3,0,0
333,2,2,4,0
277,3,0,1,0
216,10,24,3,1
438,2,3,2,0
324,8,19,10,1
178,2,5,3,1
525,3,20,1,1
269,3,0,1,0
672,5,13,10,1
207,0,4,0,0
750,10,9,3,1
74,0,1,1,0
238,0,10,0,0
203,0,10,2,0
232,0,0,1,0
149,3,25,6,1
29,4,3,5,0
165,0,1,1,0
179,0,2,0,0
241,5,26,3,1
65,3,2,7,1
350,6,3,5,1
431,1,1,2,0
261,0,0,4,0
911,3,17,4,1
103,2,2,2,0
71,5,2,1,0
156,1,0,1,0
799,2,5,8,1
596,2,6,2,1
721,5,19,1,1
60,0,0,0,0
151,0,0,2,0
637,3,30,1,1
433,1,2,2,0
401,4,20,7,1
161,5,5,0,0
195,10,25,3,1
897,4,8,3,1
105,2,8,0,0
231,1,3,4,0
721,4,21,9,1
158,0,0,5,0
195,3,17,6,1
192,10,23,6,1
183,2,0,1,0
137,2,0,0,0
190,3,2,4,0
837,7,26,3,1
794,2,6,9,1
480,2,3,0,0
887,10,16,3,1
262,1,0,0,0
178,2,0,2,0
435,2,0,1,0
32,0,4,2,0
880,1,17,7,1
488,2,0,1,0
73,8,11,9,1
214,5,29,4,1
386,0,0,1,0
503,5,20,6,1
200,2,2,0,0
180,8,30,9,1
905,4,5,8,1
200,4,0,2,0
714,4,20,9,1
64,9,21,5,1
168,9,22,0,1
572,0,5,5,1
131,7,20,10,1
858,6,1,4,1
108,1,2,0,0
565,7,20,1,1
823,4,7,10,1
206,0,2,2,0
213,0,1,5,1
113,0,3,2,0
446,6,7,9,1
582,8,24,5,1
333,3,5,4,1
65,6,16,10,1
120,1,3,0,0
76,4,8,8,1
245,4,8,1,0
680,4,8,0,1
68,1,1,6,0
70,2,5,2,0
168,1,0,1,0
202,3,8,6,1
203,2,3,1,0
202,1,3,0,0
123,1,2,0,0
600,8,15,6,1
253,2,6,2,0
251,3,4,2,0
246,1,2,4,0
458,5,22,9,1
807,7,3,7,1
127,0,0,2,0
220,2,1,1,0
54,2,11,5,1
491,0,2,1,0
41,0,3,2,0
82,6,22,1,1
60,0,2,1,0
567,5,16,3,1
45,0,0,5,0
225,0,3,6,0
215,5,2,5,0
284,0,3,6,0
735,7,28,4,1
465,2,3,2,0
176,0,1,1,0
647,2,5,1,1
526,2,24,6,1
132,2,2,0,0
359,9,2,6,1
468,9,12,7,1
394,8,1,3,1
528,2,12,0,1
289,0,2,3,0
244,5,7,3,1
82,3,26,9,1
875,8,9,0,1
42,2,3,2,0
197,1,1,4,0
900,3,13,3,1
228,1,1,1,0
153,8,24,5,1
121,6,20,9,1
329,3,1,2,0
89,1,3,2,0
26,1,3,0,0
236,0,1,3,0
496,2,2,2,0
139,2,10,0,0
935,5,28,6,1
113,2,1,1,0
80,1,3,2,0
207,0,8,1,0
240,0,3,5,0
740,8,14,6,1
879,0,5,3,1
833,1,19,7,1
971,0,13,3,1
327,2,0,10,1
938,9,6,3,1
172,0,0,6,0
696,6,28,8,1
48,0,1,5,0
21,2,3,0,0
761,2,2,6,1
226,1,10,1,0
295,0,1,0,0
318,9,12,0,1
716,3,28,1,1
889,3,16,8,1
162,4,1,4,0
56,1,2,2,0
295,4,3,0,0
192,2,3,2,0
414,8,11,10,1
292,0,0,5,0
215,1,1,0,0
63,2,17,0,1
810,7,16,4,1
63,1,6,0,0
406,0,1,0,0
876,7,0,8,1
190,3,3,2,0
285,0,1,0,0
419,1,2,0,0
250,10,0,4,1
723,2,3,5,1
56,3,1,2,0
190,6,13,6,1
734,8,22,3,1
459,1,0,2,0
196,0,9,6,1
440,3,25,0,1
57,5,16,6,1
117,2,3,4,0
301,1,9,2,0
175,1,3,1,0
255,2,1,1,0
138,5,2,1,0
824,1,0,8,1
170,6,25,1,1
751,6,1,9,1
331,3,1,5,1
850,2,7,9,1
345,2,1,1,0
243,0,3,2,0
178,3,20,3,1
955,8,30,7,1
431,9,21,2,1
103,1,2,1,0
715,2,14,7,1
219,1,8,1,1
250,2,0,1,0
167,2,17,6,1
200,3,2,0,0
278,4,1,3,0
843,10,3,5,1
359,9,7,8,1
168,4,2,1,0
498,10,17,7,1
149,2,0,0,0
140,3,24,8,1
223,0,0,1,0
59,1,0,1,0
827,0,26,2,1
161,8,26,9,1
53,2,0,2,0
50,10,0,4,1
42,1,1,2,0
272,5,20,5,1
260,5,2,2,0
277,1,1,0,0
623,9,5,3,1
172,2,11,10,1
318,2,19,10,1
222,2,0,0,0
265,2,2,4,0
78,9,29,9,1
114,0,0,3,0
690,2,11,8,1
482,3,16,6,1
551,3,29,6,1
182,2,5,2,0
949,8,19,9,1
507,3,3,10,1
625,3,2,10,1
738,4,28,7,1
207,0,3,1,0
57,0,1,2,0
50,10,4,6,1
157,0,23,8,1
213,2,3,3,0
56,4,30,8,1
424,10,1,7,1
33,1,6,1,0
287,5,14,10,1
162,2,1,1,0
381,5,3,2,0
243,2,2,4,0
996,4,19,3,1
863,2,22,10,1
213,2,10,4,0
987,1,2,1,1
162,8,12,8,1
229,0,4,1,0
270,2,2,4,0
67,1,3,1,0
614,0,16,5,1
502,10,27,6,1
243,10,23,7,1
278,2,0,0,0
163,0,10,2,0
69,4,1,3,0
133,0,0,1,0
724,5,3,5,1
496,1,0,0,0
66,0,0,1,0
141,1,1,1,0
140,2,14,2,1
323,3,25,3,1
78,1,10,2,0
128,2,1,3,1
898,9,8,4,1
344,0,3,1,0
38,1,6,1,0
210,10,21,4,1
182,2,5,4,0
768,5,18,3,1
818,6,7,0,1
314,9,7,4,1
118,2,3,0,0
55,2,1,0,0
762,2,25,2,1
218,4,3,1,0
646,4,5,7,1
882,7,21,3,1
652,2,9,6,1
459,7,27,3,1
364,0,1,0,0
794,4,1,0,1
78,1,9,2,0
144,5,29,6,1
423,1,0,0,0
49,0,8,1,0
568,4,17,10,1
495,10,30,10,1
279,2,1,1,0
117,2,0,2,0
35,5,1,1,0
290,0,0,2,0
261,1,3,0,0
242,1,2,1,0
85,0,2,1,0
447,6,21,9,1
271,4,1,0,0
208,0,0,0,0
354,5,6,4,1
364,10,11,1,1
359,0,0,0,1
482,6,10,4,1
225,4,10,2,0
285,1,2,1,0
228,1,0,0,0
889,9,11,6,1
668,8,5,3,1
148,2,9,5,1
65,2,8,0,0
64,3,27,3,1
504,8,6,4,1
277,2,8,1,0
911,3,18,8,1
229,2,3,0,0
105,1,2,0,0
259,7,0,5,1
169,9,12,8,1
99,0,1,1,0
90,2,1,1,0
662,5,6,7,1
278,5,2,0,0
679,3,16,5,1
92,1,0,1,0
473,1,0,1,0
520,3,24,0,1
748,3,22,10,1
100,3,11,8,1
53,0,1,1,0
298,3,22,8,1
162,4,2,5,0
331,3,8,10,1
54,7,14,4,1
463,1,3,1,0
314,6,26,10,1
374,10,30,5,1
67,5,2,2,0
369,2,4,6,0
64,5,9,2,1
127,6,28,10,1
297,4,21,7,1
162,0,3,1,0
121,1,2,3,0
662,4,13,8,1
652,8,3,6,1
120,0,17,6,1
234,4,25,5,1
252,2,1,1,0
218,1,1,1,0
112,3,13,7,1
743,10,15,10,1
962,2,19,8,1
256,6,7,2,1
868,9,14,5,1
744,7,17,0,1
51,0,2,0,0
351,10,7,4,1
857,2,25,0,1
718,5,11,9,1
874,8,5,8,1
470,2,0,3,0
111,2,7,3,1
198,1,7,3,0
197,0,1,6,0
453,1,7,0,1
89,4,29,3,1
91,3,0,2,0
219,1,8,0,0
597,10,4,7,1
311,1,8,5,1
302,6,21,8,1
986,5,27,5,1
198,3,22,10,1
590,5,5,8,1
254,0,0,1,0
189,10,26,4,1
160,1,1,2,0
161,6,22,3,1
529,5,9,7,1
83,10,23,10,1
616,7,5,4,1
965,3,14,8,1
127,2,0,4,0
252,2,0,0,0
142,0,0,2,0
210,2,6,3,1
253,3,18,7,1
198,4,27,10,1
310,9,16,1,1
192,9,13,8,1
454,2,0,5,0
85,6,4,3,1
118,2,6,8,1
963,5,24,1,1
460,4,0,1,0
172,2,0,4,1
104,1,10,0,0
735,7,16,2,1
497,1,8,1,0
88,9,27,6,1
788,7,25,10,1
62,1,1,2,0
201,2,9,2,0
115,8,15,9,1
28,4,1,1,0
954,9,8,6,1
285,2,3,1,0
540,6,8,8,1
132,2,2,6,0
243,5,9,4,1
207,2,9,2,0
187,4,9,5,1
251,1,1,0,0
82,5,21,0,1
42,2,3,1,0
168,2,1,2,0
751,5,17,8,1
118,1,3,0,0
730,3,17,10,1
271,1,9,0,0
107,10,11,1,1
845,9,28,5,1
926,3,22,5,1
153,4,1,1,0
110,3,0,2,0
246,0,1,2,0
167,0,0,1,0
923,2,26,10,1
70,2,3,0,0
245,5,28,7,1
197,2,10,4,1
270,2,3,1,0
816,0,20,7,1
164,2,0,0,0
471,2,9,6,1
159,2,1,2,0
305,8,12,4,1
136,1,3,5,0
159,1,8,0,0
484,0,28,4,1
322,4,7,1,1
549,1,18,7,1
174,10,18,7,1
155,4,15,10,1
321,9,11,6,1
351,1,0,0,0
668,9,1,5,1
447,1,8,2,0
335,2,1,10,1
990,3,24,7,1
153,2,0,4,0
60,1,3,0,0
209,4,2,4,1
177,2,3,1,0
336,2,9,9,1
23,4,2,6,0
166,2,7,1,0
131,8,10,3,1
32,1,3,1,0
468,7,20,0,1
260,2,2,0,0
613,8,15,4,1
929,7,19,1,1
452,10,3,4,1
438,3,1,3,1
595,3,30,6,1
40,2,3,2,0
195,5,1,1,0
189,0,3,1,0
364,3,23,6,1
321,6,23,8,1
89,1,2,1,0
22,2,2,2,0
86,5,27,8,1
376,0,7,5,1
154,3,27,0,1
665,2,23,0,1
270,0,4,5,0
126,2,1,2,0
62,0,3,2,0
339,2,1,2,0
182,4,7,8,1
146,4,0,6,0
128,1,3,0,0
141,7,19,3,1
239,2,7,2,0
640,9,15,8,1
395,0,0,3,0
269,2,1,0,0
71,0,0,2,0
339,5,19,9,1
92,5,27,10,1
736,3,3,9,1
560,3,23,9,1
213,2,9,1,0
438,1,3,5,0
167,2,0,2,0
98,8,16,2,1
232,2,30,6,1
192,1,9,2,0
596,9,29,7,1
227,3,1,1,0
278,2,3,1,0
750,3,18,3,1
362,8,23,8,1
119,1,0,3,0
255,8,21,9,1
101,1,7,7,1
123,1,3,1,0
23,0,3,2,0
83,0,3,2,0
127,5,23,10,1
823,5,9,9,1
959,5,21,5,1
60,1,2,2,0
141,1,10,0,0
275,0,8,4,0
148,2,0,1,0
139,5,3,2,0
136,0,6,2,0
665,3,4,10,1
161,1,3,1,0
212,9,26,7,1
489,2,1,0,0
776,7,28,7,1
196,0,1,0,0
54,4,3,1,0
164,1,1,0,0
201,0,7,2,0
189,0,2,0,0
289,0,0,0,0
813,9,11,0,1
341,3,11,8,1
197,6,14,4,1
65,1,2,1,0
243,1,3,0,0
104,2,3,0,0
93,1,3,0,0
953,10,29,7,1
119,4,4,3,1
357,9,16,1,1
132,0,0,1,0
53,3,8,4,1
705,2,5,10,1
157,2,0,2,0
179,2,29,6,1
359,0,2,2,0
55,3,2,10,1
162,2,3,1,0
123,0,0,2,0
442,3,28,10,1
463,8,7,8,1
194,1,3,1,0
371,0,1,3,1
107,1,1,0,0
85,9,7,3,1
177,0,0,0,0
101,1,14,6,1
127,2,26,7,1
101,1,0,0,0
286,0,3,2,0
302,2,1,0,0
197,7,0,10,1
272,1,0,0,0
328,2,23,3,1
28,1,2,2,0
305,1,5,7,1
194,10,27,5,1
277,2,1,1,0
432,9,14,3,1
118,7,24,7,1
219,2,9,2,0
206,4,20,6,1
341,4,8,2,0
87,0,3,1,0
218,1,6,2,0
658,6,27,10,1
613,2,13,5,1
638,6,21,1,1
973,5,21,8,1
92,1,1,1,0
618,4,1,6,1
951,6,21,10,1
133,2,0,0,0
383,0,3,1,0
710,2,6,7,1
262,2,0,0,0
593,5,3,10,1
296,2,8,1,0
474,4,13,3,1
169,2,0,2,0
796,3,25,2,1
222,4,3,2,0
273,4,6,8,1
235,10,5,2,1
108,10,20,5,1
198,2,9,2,0
212,10,6,3,1
549,3,22,5,1
39,2,3,2,0
912,9,5,9,1
244,0,0,0,0
287,1,8,2,0
38,1,3,2,0
288,5,0,1,0
274,1,3,1,0
465,6,12,6,1
417,4,4,8,1
38,1,3,2,0
394,9,3,8,1
419,2,10,3,1
256,4,3,8,1
422,5,23,7,1
428,9,5,2,1
272,2,3,0,0
163,3,5,9,1
71,2,0,2,0
410,0,0,2,0
268,0,0,0,0
151,1,2,6,0
324,5,25,8,1
120,2,21,3,1
306,1,6,0,0
116,1,11,0,1
122,2,3,2,0
177,2,13,8,1
732,4,11,1,1
438,7,5,6,1
62,2,27,8,1
282,1,0,0,0
919,0,16,8,1
720,5,9,3,1
114,1,20,3,1
260,1,1,1,0
130,2,3,0,0
127,2,10,1,0
395,4,6,10,1
218,6,18,9,1
209,3,3,3,0
81,0,9,1,0
399,9,21,2,1
341,6,28,6,1
124,2,0,2,0
130,5,13,4,1
263,0,2,2,0
160,1,2,2,0
832,8,2,10,1
917,2,17,3,1
172,4,18,7,1
816,9,12,5,1
146,3,11,4,1
90,2,8,1,0
155,0,7,0,0
583,2,10,6,1
267,5,2,1,0
92,0,3,0,0
393,8,10,3,1
882,1,18,9,1
130,8,18,8,1
860,5,16,6,1
29,1,3,2,0
159,0,0,0,0
280,2,2,2,0
187,0,2,2,0
490,1,2,6,0
192,2,30,7,1
281,2,11,6,1
752,6,24,3,1
511,3,15,10,1
143,5,26,4,1
255,2,0,0,0
469,4,3,5,1
173,1,2,1,0
575,5,27,4,1
457,2,1,2,0
148,2,3,2,0
96,2,0,1,0
356,2,1,8,1
99,2,2,2,0
124,9,7,6,1
284,2,3,1,0
203,2,2,5,0
930,0,5,7,1
121,7,5,8,1
28,0,1,0,0
50,0,1,0,0
981,3,13,7,1
673,1,19,3,1
252,0,2,4,0
281,2,4,6,1
20,2,2,0,0
64,2,0,5,0
552,4,23,9,1
39,0,4,0,0
275,2,0,0,0
148,2,7,1,0
701,4,7,7,1
66,2,0,6,0
742,7,6,3,1
26,2,1,2,0
22,2,0,2,0
125,1,0,0,0
610,7,4,5,1
163,2,0,0,0
45,2,3,2,0
791,8,19,8,1
755,9,6,6,1
71,2,0,1,0
909,8,13,7,1
68,2,3,2,0
212,1,3,1,0
358,1,17,1,1
142,2,1,0,0
366,0,5,0,0
255,2,3,2,0
193,4,1,2,0
134,8,21,1,1
240,1,0,2,0
488,8,20,1,1
121,10,30,5,1
267,1,4,1,0
230,3,14,7,1
938,6,0,9,1
53,2,16,6,1
130,2,9,3,1
988,8,13,10,1
150,5,3,2,0
126,0,1,2,0
165,0,2,0,0
355,1,15,5,1
79,4,0,2,0
97,2,3,0,0
69,0,2,2,0
92,0,4,5,1
173,2,18,6,1
87,3,0,2,0
70,9,17,1,1
130,2,1,6,0
262,2,2,2,0
174,1,28,6,1
123,9,2,6,1
180,2,0,1,0
687,2,23,3,1
739,5,5,5,1
657,9,29,3,1
54,2,3,2,0
136,0,1,2,0
56,0,8,1,0
180,0,8,4,1
185,5,3,2,0
447,10,5,4,1
221,7,1,6,1
85,4,16,10,1
280,0,2,6,0
184,0,1,3,0
132,0,1,0,0
591,1,18,9,1
171,0,1,0,0
296,3,17,0,1
156,1,0,2,0
164,7,10,6,1
113,4,0,0,0
212,9,6,8,1
637,2,27,6,1
174,4,0,1,0
200,1,0,0,0
131,0,2,0,0
22,0,3,3,0
50,0,1,2,0
35,2,0,2,0
146,1,2,0,0
67,8,23,7,1
971,10,19,4,1
343,0,2,1,0
438,4,1,0,0
228,0,1,2,0
554,0,28,10,1
111,2,0,2,0
863,7,17,5,1
910,1,7,4,1
489,5,28,0,1
133,3,20,1,1
275,1,1,2,0
289,0,0,2,0
789,0,14,0,1
21,0,6,1,0
259,0,0,1,0
211,4,1,0,0
